a	-0.010134392170792678
ai	-0.034389598679717526
aiː	-0.0226660949240406
au	-0.013748419800064086
auː	-0.04541634238997067
aː	-0.009255088386394491
c	0.004360899828299804
cʰ	-0.016413536490156935
ei	-0.018089279333725942
eiː	-0.016056070137169687
f	-0.009190589349598696
h	-0.013306968891843476
i	4.940542838748888e-05
iː	-0.009721413013168562
j	-0.00924568898117114
k	0.002363258107596681
kʰ	-0.005423535848667671
l	-0.0017903682542272246
l̥	-0.009939606472079225
m	-0.011085911378132935
m̥	-0.018894381327683174
n	-0.011414730974615114
n̥	-0.018894381327683174
ou	-0.00732985260199678
ouː	0.0012652785565443491
p	-0.0006192939793584716
pʰ	-0.008648421869610588
r	-0.013957659323509506
r̥	-0.009743806511299337
s	-0.030579627263416367
t	-0.012840412151184333
tʰ	-0.010095892390521095
u	-0.0006775084095438765
uː	-0.0005361931122233989
v	0.0037057759972107173
x	-0.018894381327683174
ç	-0.013337393214965822
ð	-0.004184944087872158
ŋ	-0.007356677853441376
ŋ̊	-0.04640759651068276
œ	0.0019650035750560547
œy	0.0018271056531209576
œyː	-0.007507607760635013
œː	-0.002350679155655643
ɔ	0.0009166563242788502
ɔi	-0.018894381327683174
ɔː	-0.008297202108814542
ɛ	-0.008499289682081789
ɛː	-0.006226641598804413
ɣ	-0.005099362559725172
ɪ	-0.013172364423026644
ɪː	-0.01844102855596782
ɲ	-0.0008954038380931998
ɲ̊	-0.018894381327683174
ʏ	-0.0016967113027052095
ʏː	-0.03805642879887365
θ	-0.02474075001755238
