a	-0.009840877575207591
ai	-0.027072758606430065
aiː	-0.008959503509248531
au	-0.009186567063777
auː	-0.01961055447077736
aː	-0.009687558859023067
c	0.005745987708584053
cʰ	-0.015329760515363576
ei	-0.002466625325229663
eiː	-0.007415543502707653
f	-0.007478715373323927
h	-0.006635844862388011
i	0.0023557490421768253
iː	-0.007019248014189363
j	-0.0018960571437954845
k	-0.0006413828039399315
kʰ	-0.006680824362410435
l	-0.004248054881388521
l̥	-0.0073666817531565015
m	-0.0006714774412910977
m̥	-0.010072918368503676
n	-0.005428061245335277
n̥	-0.010072918368503676
ou	0.0058983289557865155
ouː	0.0005496114600930129
p	0.002053956799252149
pʰ	0.0010741114874140106
r	-0.011087129642744711
r̥	-0.00153955897641071
s	-0.016216208338231737
t	-0.003030069112164896
tʰ	0.0009443919778877677
u	-0.0058576486496532704
uː	0.004916849418907057
v	0.0004138485838403199
x	-0.010072918368503676
ç	-0.04288615832128797
ð	-0.0016049037876568668
ŋ	-0.0051440023938052835
ŋ̊	-0.010072918368503676
œ	-0.0001494032165192136
œy	0.0070833237052871185
œyː	-0.004471682444368723
œː	0.005091539390218317
ɔ	0.005893227442682089
ɔi	-0.010072918368503676
ɔː	-0.007420958999290354
ɛ	-0.01129805168963217
ɛː	-0.002318110360723427
ɣ	-0.01485174547427928
ɪ	0.0010173363365405226
ɪː	0.0019692535301653728
ɲ	-0.010072918368503676
ɲ̊	-0.010072918368503676
ʏ	0.001374282090826464
ʏː	-0.010072918368503676
θ	-0.016678672621228314
