file,begin,end,speaker,loglikelihood
027280-3096951,0.0,4.48,027280,-5.172805803571428
027280-3103691,0.0,2.2186875,027280,-5.063904977375566
027280-3100658,0.0,2.56,027280,-5.2269140625
027280-3104699,0.0,3.584,027280,-5.822849162011173
027280-3101279,0.0,2.56,027280,-5.1891640625
027280-3100784,0.0,2.1333125,027280,-5.433798122065727
027280-3103711,0.0,1.536,027280,-4.66016339869281
027280-3100277,0.0,2.2186875,027280,-5.157678733031674
027280-3102730,0.0,2.8586875,027280,-5.764543859649122
027280-3099688,0.0,3.4986875,027280,-5.5075186246418335
027280-3100601,0.0,1.92,027280,-4.878736979166667
027280-3106358,0.0,2.432,027280,-5.818518518518519
027280-3098767,0.0,3.1573125,027280,-5.492136507936507
027280-3100236,0.0,2.6026875,027280,-5.693884615384616
027280-3099607,0.0,4.1813125,027280,-5.648526315789473
027280-3101236,0.0,2.7306875,027280,-5.4814981684981685
027280-3105686,0.0,3.328,027280,-5.097189759036144
027280-3103323,0.0,2.0053125,027280,-5.290055
027280-3104551,0.0,2.6026875,027280,-5.4314884615384615
027280-3103169,0.0,2.6453125,027280,-5.11644696969697
027280-3096109,0.0,2.816,027280,-5.163505338078291
027280-3103139,0.0,3.9253125,027280,-4.97366581632653
027280-3106115,0.0,1.9626875,027280,-5.367433673469388
027280-3100739,0.0,3.6266875,027280,-5.389052486187845
027280-3102922,0.0,2.5173125,027280,-4.9584820717131475
027280-3104585,0.0,3.2,027280,-5.459903125
027280-3096269,0.0,2.944,027280,-5.730472789115646
027280-3103924,0.0,3.6266875,027280,-5.604754143646409
027280-3101242,0.0,3.072,027280,-5.415618892508143
027280-3103758,0.0,2.9013125,027280,-5.345272413793103
027280-3103537,0.0,2.7733125,027280,-4.954851985559566
027280-3102429,0.0,3.5413125,027280,-5.325802259887006
027280-3100185,0.0,3.456,027280,-5.290423188405797
027280-3100080,0.0,2.4746875,027280,-5.865
027280-3103572,0.0,1.9626875,027280,-5.368724489795918
027280-3102265,0.0,3.2426875,027280,-5.390330246913581
027280-3106447,0.0,3.3706875,027280,-5.673207715133532
027280-3101453,0.0,3.456,027280,-5.646660869565217
027280-3102668,0.0,3.072,027280,-5.537908794788273
027280-3096989,0.0,3.7546875,027280,-5.261946666666667
027280-3097911,0.0,4.352,027280,-5.5408505747126435
027280-3097806,0.0,3.4133125,027280,-5.674211143695015
027280-3099961,0.0,2.944,027280,-5.489557823129252
027280-3106052,0.0,2.8586875,027280,-5.422473684210527
027280-3097515,0.0,2.4746875,027280,-5.305056680161943
027280-3102519,0.0,2.8586875,027280,-5.313901754385965
027280-3098676,0.0,2.0906875,027280,-4.932880382775119
027280-3105598,0.0,3.2,027280,-5.1852625
027280-3096161,0.0,2.688,027280,-5.745294776119403
027280-3099713,0.0,3.3706875,027280,-5.520741839762612
027280-3101318,0.0,3.072,027280,-5.093482084690554
027280-3099761,0.0,2.1333125,027280,-5.293150234741784
027280-3105510,0.0,2.2186875,027280,-4.713556561085973
027280-3104739,0.0,3.072,027280,-5.543511400651465
027280-3105830,0.0,2.7306875,027280,-5.1310659340659335
027280-3105400,0.0,3.456,027280,-5.368289855072463
027280-3100950,0.0,3.2426875,027280,-5.540092592592592
027280-3098746,0.0,2.688,027280,-4.627492537313432
027280-3096847,0.0,3.0293125,027280,-5.41982119205298
027280-3104095,0.0,2.5173125,027280,-5.716254980079682
027280-3100352,0.0,1.8773125,027280,-4.745768449197861
027280-3106270,0.0,3.1146875,027280,-5.768858520900322
027280-3099387,0.0,2.56,027280,-5.2347734375
027280-3103872,0.0,2.4746875,027280,-4.928311740890688
027280-3100620,0.0,2.4746875,027280,-6.150425101214575
027280-3105746,0.0,2.6026875,027280,-5.281388461538461
027280-3099869,0.0,2.1333125,027280,-4.806784037558685
027280-3104796,0.0,2.176,027280,-5.136963133640553
027280-3105933,0.0,2.2186875,027280,-5.415552036199095
027280-3101724,0.0,2.7733125,027280,-4.981216606498195
027280-3097130,0.0,3.9253125,027280,-5.408397959183674
027280-3099994,0.0,2.688,027280,-5.156850746268657
027280-3099569,0.0,3.0293125,027280,-5.1113807947019865
